id,checkid,vertercheckstatus,time
255,128,Start,21:45
256,128,Failure,05:41
257,129,Start,04:52
258,129,Success,18:06
259,130,Start,09:09
260,130,Success,14:38
261,131,Start,06:42
262,131,Success,10:34
263,132,Start,07:55
264,132,Failure,21:45
265,133,Start,04:04
266,133,Failure,19:43
267,134,Start,21:45
268,134,Success,00:36
269,135,Start,09:09
270,135,Failure,23:23
271,136,Start,10:58
272,136,Failure,17:41
273,137,Start,10:46
274,137,Success,22:58
275,138,Start,05:53
276,138,Failure,11:47
277,139,Start,20:08
278,139,Failure,19:55
279,140,Start,00:36
280,140,Failure,11:35
281,141,Start,10:58
282,141,Failure,01:37
283,142,Start,10:46
284,142,Success,02:26
285,143,Start,10:46
286,143,Success,14:14
287,144,Start,05:29
288,144,Failure,15:51
289,145,Start,13:49
290,145,Failure,21:57
291,146,Start,15:03
292,146,Failure,01:25
293,147,Start,20:20
294,147,Success,18:18
295,148,Start,06:42
296,148,Failure,19:07
297,149,Start,07:55
298,149,Failure,05:17
299,150,Start,04:40
300,150,Failure,19:55
301,151,Start,07:07
302,151,Success,22:46
303,152,Start,23:59
304,152,Failure,09:57
305,153,Start,08:08
306,153,Success,14:02
307,154,Start,20:32
308,154,Failure,07:07
309,155,Start,00:48
310,155,Success,14:02
311,156,Start,19:43
312,156,Failure,15:15
313,157,Start,13:01
314,157,Success,10:10
315,158,Start,17:29
316,158,Failure,17:05
317,159,Start,21:09
318,159,Success,16:04
319,160,Start,11:59
320,160,Failure,05:17
321,161,Start,02:14
322,161,Failure,21:33
323,162,Start,13:01
324,162,Success,22:22
325,163,Start,18:06
326,163,Success,18:30
327,164,Start,17:17
328,164,Success,20:56
329,165,Start,14:38
330,165,Failure,15:27
331,166,Start,09:57
332,166,Success,04:16
333,167,Start,08:56
334,167,Success,22:58
335,168,Start,18:30
336,168,Success,14:02
337,169,Start,12:12
338,169,Failure,11:11
339,170,Start,14:26
340,170,Failure,05:05
341,171,Start,02:02
342,171,Success,12:24
343,172,Start,21:09
344,172,Success,14:38
345,173,Start,19:43
346,173,Success,16:52
347,174,Start,07:55
348,174,Failure,21:45
349,175,Start,03:39
350,175,Success,16:04
351,176,Start,01:13
352,176,Success,02:02
353,177,Start,23:11
354,177,Success,06:42
355,178,Start,20:08
356,178,Failure,01:01
357,179,Start,03:03
358,179,Failure,05:17
359,180,Start,20:32
360,180,Failure,05:05
361,181,Start,19:31
362,181,Success,06:06
363,182,Start,08:20
364,182,Failure,17:53
365,183,Start,05:29
366,183,Failure,07:43
367,184,Start,17:29
368,184,Failure,21:57
369,185,Start,15:39
370,185,Success,04:16
371,186,Start,23:35
372,186,Failure,01:37
373,187,Start,19:55
374,187,Success,08:20
375,188,Start,08:08
376,188,Failure,07:55
377,189,Start,23:47
378,189,Failure,13:37
379,190,Start,21:33
380,190,Failure,19:31
381,191,Start,11:47
382,191,Success,20:08
383,192,Start,07:43
384,192,Success,20:56
385,193,Start,17:41
386,193,Failure,03:39
387,194,Start,04:04
388,194,Success,16:40
389,195,Start,16:04
390,195,Success,04:16
391,196,Start,08:08
392,196,Success,06:54
393,197,Start,23:23
394,197,Success,14:26
395,198,Start,02:38
396,198,Success,12:24
397,199,Start,21:21
398,199,Failure,05:29
399,200,Start,01:13
400,200,Failure,03:03
401,201,Start,07:19
402,201,Failure,03:51
403,202,Start,22:58
404,202,Success,20:32
405,203,Start,06:54
406,203,Success,20:20
407,204,Start,10:34
408,204,Failure,11:23
409,205,Start,18:30
410,205,Failure,09:33
411,206,Start,04:40
412,206,Success,10:22
413,207,Start,03:03
414,207,Failure,09:21
415,208,Start,15:51
416,208,Success,06:18
417,209,Start,23:47
418,209,Success,00:12
419,210,Start,01:13
420,210,Failure,23:23
421,211,Start,21:57
422,211,Success,02:26
423,212,Start,14:38
424,212,Failure,01:01
425,213,Start,21:21
426,213,Success,04:04
427,214,Start,17:29
428,214,Success,20:56
429,215,Start,20:56
430,215,Failure,01:13
431,216,Start,02:38
432,216,Success,02:14
433,217,Start,01:13
434,217,Failure,15:27
435,218,Start,15:39
436,218,Success,16:52
437,219,Start,22:22
438,219,Success,12:12
439,220,Start,00:48
440,220,Failure,01:25
441,221,Start,05:41
442,221,Success,16:40
443,222,Start,12:00
444,222,Failure,07:19
445,223,Start,14:38
446,223,Failure,01:13
447,224,Start,14:26
448,224,Failure,21:45
449,225,Start,05:05
450,225,Failure,13:01
451,226,Start,10:58
452,226,Success,02:14
453,227,Start,01:13
454,227,Success,02:02
455,228,Start,22:46
456,228,Success,18:06
457,229,Start,06:30
458,229,Failure,15:39
459,230,Start,12:00
460,230,Success,12:12
461,231,Start,17:41
462,231,Success,10:10
463,232,Start,17:05
464,232,Success,12:24
465,233,Start,16:04
466,233,Success,10:46
467,234,Start,14:14
468,234,Failure,23:23
469,235,Start,01:01
470,235,Failure,09:33
471,236,Start,20:08
472,236,Success,08:20
473,237,Start,06:54
474,237,Failure,23:35
475,238,Start,01:49
476,238,Success,02:02
477,239,Start,23:11
478,239,Success,20:08
479,240,Start,09:45
480,240,Failure,15:51
481,241,Start,21:33
482,241,Success,18:42
483,242,Start,20:32
484,242,Failure,09:45
485,243,Start,04:04
486,243,Failure,19:07
487,244,Start,20:32
488,244,Success,22:22
489,245,Start,07:31
490,245,Failure,15:03
491,246,Start,23:47
492,246,Success,20:44
493,247,Start,18:30
494,247,Failure,17:29
495,248,Start,16:04
496,248,Failure,03:03
497,249,Start,23:59
498,249,Success,04:28
499,250,Start,00:36
500,250,Success,06:54
501,251,Start,05:29
502,251,Success,22:58
503,252,Start,15:27
504,252,Success,20:32
505,253,Start,01:13
506,253,Success,20:44
507,254,Start,01:37
508,254,Failure,17:05
509,255,Start,01:37
510,255,Success,14:02
511,256,Start,11:35
512,256,Failure,03:03
513,257,Start,22:10
514,257,Success,16:28
515,258,Start,05:53
516,258,Success,16:04
517,259,Start,13:37
518,259,Success,22:34
519,260,Start,23:35
520,260,Failure,05:29
521,261,Start,10:46
522,261,Success,12:00
523,262,Start,07:07
524,262,Failure,13:37
525,263,Start,19:31
526,263,Failure,03:39
527,264,Start,14:38
528,264,Failure,15:51
529,265,Start,10:58
530,265,Failure,17:05
531,266,Start,08:32
532,266,Success,02:38
533,267,Start,00:24
534,267,Failure,11:23
535,268,Start,18:06
536,268,Success,08:08
537,269,Start,10:22
538,269,Success,16:40
539,270,Start,11:23
540,270,Failure,11:47
541,271,Start,01:25
542,271,Success,02:26
543,272,Start,10:58
544,272,Failure,21:33
545,273,Start,16:40
546,273,Failure,17:29
547,274,Start,14:38
548,274,Success,08:08
549,275,Start,00:24
550,275,Success,10:58
551,276,Start,19:55
552,276,Failure,21:21
553,277,Start,09:33
554,277,Success,16:40
555,278,Start,16:04
556,278,Failure,01:37
557,279,Start,11:35
558,279,Failure,03:27
559,280,Start,15:15
560,280,Success,20:56
561,281,Start,21:09
562,281,Success,18:42
563,282,Start,08:56
564,282,Failure,15:27
565,283,Start,01:49
566,283,Success,00:12
567,284,Start,11:11
568,284,Success,18:18
569,285,Start,22:10
570,285,Success,16:52
571,286,Start,01:01
572,286,Failure,05:41
573,287,Start,20:44
574,287,Success,18:54
575,288,Start,00:00
576,288,Success,20:32
577,289,Start,20:44
578,289,Success,08:20
579,290,Start,14:14
580,290,Failure,17:53
581,291,Start,08:08
582,291,Failure,21:33
583,292,Start,03:15
584,292,Success,00:12
585,293,Start,12:24
586,293,Failure,11:11
587,294,Start,09:33
588,294,Success,18:18
589,295,Start,11:23
590,295,Failure,07:43
591,296,Start,20:44
592,296,Failure,09:09
593,297,Start,21:09
594,297,Success,04:28
595,298,Start,03:15
596,298,Failure,17:29
597,299,Start,16:28
598,299,Failure,17:41
599,300,Start,10:46
600,300,Failure,07:55
601,301,Start,06:06
602,301,Failure,19:55
603,302,Start,08:32
604,302,Failure,09:09
605,303,Start,14:02
606,303,Success,20:20
607,304,Start,10:46
608,304,Failure,03:39
609,305,Start,10:22
610,305,Failure,09:21
611,306,Start,05:29
612,306,Failure,19:43
613,307,Start,22:58
614,307,Failure,03:27
615,308,Start,07:31
616,308,Success,20:44
617,309,Start,00:48
618,309,Success,22:46
619,310,Start,16:16
620,310,Failure,13:25
621,311,Start,17:53
622,311,Success,08:20
623,312,Start,22:10
624,312,Failure,11:23
625,313,Start,20:56
626,313,Success,06:42
627,314,Start,13:49
628,314,Failure,17:41
629,315,Start,05:53
630,315,Failure,11:35
631,316,Start,15:15
632,316,Failure,21:21
633,317,Start,21:57
634,317,Failure,11:11
635,318,Start,10:22
636,318,Success,06:18
637,319,Start,10:22
638,319,Success,14:14
639,320,Start,05:53
640,320,Failure,07:19
641,321,Start,15:15
642,321,Failure,09:09
643,322,Start,08:56
644,322,Failure,13:37
645,323,Start,14:26
646,323,Failure,07:31
647,324,Start,23:23
648,324,Success,22:22
649,325,Start,16:04
650,325,Success,18:18
651,326,Start,15:51
652,326,Success,18:30
653,327,Start,00:00
654,327,Success,12:24
655,328,Start,20:44
656,328,Failure,05:53
657,329,Start,23:47
658,329,Success,16:40
659,330,Start,13:37
660,330,Success,04:04
661,331,Start,20:32
662,331,Success,04:28
663,332,Start,13:49
664,332,Success,08:32
665,333,Start,12:00
666,333,Success,02:02
667,334,Start,09:09
668,334,Failure,01:13
669,335,Start,09:09
670,335,Failure,21:57
671,336,Start,15:51
672,336,Success,20:08
673,337,Start,13:37
674,337,Success,02:50
675,338,Start,23:47
676,338,Success,00:24
677,339,Start,14:38
678,339,Success,20:08
679,340,Start,00:48
680,340,Failure,05:05
681,341,Start,02:26
682,341,Success,10:34
683,342,Start,21:45
684,342,Failure,05:41
685,343,Start,14:02
686,343,Success,08:20
687,344,Start,13:25
688,344,Failure,23:23
689,345,Start,09:45
690,345,Success,16:40
691,346,Start,04:16
692,346,Success,10:58
693,347,Start,13:37
694,347,Success,00:00
695,348,Start,03:51
696,348,Success,16:28
697,349,Start,04:40
698,349,Failure,19:19
699,350,Start,08:56
700,350,Failure,07:43
701,351,Start,15:51
702,351,Success,16:52
703,352,Start,11:11
704,352,Failure,23:59
705,353,Start,07:55
706,353,Failure,15:15
707,354,Start,01:01
708,354,Success,14:50
709,355,Start,14:14
710,355,Failure,15:15
711,356,Start,13:01
712,356,Success,06:30
713,357,Start,10:10
714,357,Success,04:28
715,358,Start,19:43
716,358,Success,16:04
717,359,Start,17:53
718,359,Success,22:22
719,360,Start,02:02
720,360,Success,20:20
721,361,Start,19:43
722,361,Success,14:50
723,362,Start,17:17
724,362,Success,18:30
725,363,Start,03:15
726,363,Success,06:30
727,364,Start,05:17
728,364,Failure,09:09
729,365,Start,06:18
730,365,Success,10:46
731,366,Start,00:00
732,366,Failure,07:19
733,367,Start,00:24
734,367,Success,06:30
735,368,Start,00:36
736,368,Success,16:52
737,369,Start,15:15
738,369,Success,16:16
739,370,Start,23:47
740,370,Failure,01:25
741,371,Start,22:34
742,371,Failure,17:17
743,372,Start,01:25
744,372,Failure,21:33
745,373,Start,11:47
746,373,Failure,13:37
747,374,Start,07:19
748,374,Success,08:56
749,375,Start,12:48
750,375,Failure,05:29
751,376,Start,13:37
752,376,Success,22:22
753,377,Start,18:42
754,377,Failure,21:21
755,378,Start,13:49
756,378,Success,20:44
757,379,Start,14:50
758,379,Failure,23:35
759,380,Start,03:51
760,380,Failure,19:19
761,381,Start,09:33
762,381,Failure,05:29
763,382,Start,09:45
764,382,Success,04:04
765,383,Start,03:15
766,383,Success,18:42
767,384,Start,05:17
768,384,Failure,23:23
769,385,Start,02:50
770,385,Failure,17:53
771,386,Start,04:28
772,386,Failure,17:05
773,387,Start,05:41
774,387,Success,22:34
775,388,Start,23:59
776,388,Success,14:38
777,389,Start,15:51
778,389,Success,12:12
779,390,Start,03:51
780,390,Success,06:06
781,391,Start,19:31
782,391,Failure,21:45
783,392,Start,00:24
784,392,Failure,13:49
785,393,Start,02:02
786,393,Success,16:28
787,394,Start,16:40
788,394,Success,06:42
789,395,Start,10:46
790,395,Failure,15:39
791,396,Start,11:59
792,396,Success,12:48
793,397,Start,13:01
794,397,Success,02:50
795,398,Start,09:45
796,398,Success,22:58
797,399,Start,00:36
798,399,Failure,09:09
799,400,Start,07:19
800,400,Failure,19:55
801,401,Start,21:45
802,401,Success,08:44
803,402,Start,23:11
804,402,Failure,19:07
805,403,Start,19:43
806,403,Success,22:22
807,404,Start,03:51
808,404,Failure,03:51
809,405,Start,03:51
810,405,Failure,05:17
811,406,Start,16:04
812,406,Success,06:42
813,407,Start,09:45
814,407,Failure,23:59
815,408,Start,23:23
816,408,Failure,21:57
817,409,Start,12:36
818,409,Success,20:08
819,410,Start,02:26
820,410,Success,14:38
821,411,Start,07:55
822,411,Success,18:30
823,412,Start,15:15
824,412,Failure,11:35
825,413,Start,17:29
826,413,Failure,19:31
827,414,Start,12:24
828,414,Failure,13:49
829,415,Start,12:12
830,415,Failure,19:31
831,416,Start,02:26
832,416,Success,08:56
833,417,Start,11:59
834,417,Failure,03:39
835,418,Start,18:42
836,418,Failure,07:31
837,419,Start,05:53
838,419,Success,00:12
839,420,Start,03:03
840,420,Failure,19:31
841,421,Start,07:43
842,421,Failure,03:15
843,422,Start,20:08
844,422,Success,14:26
845,423,Start,12:00
846,423,Failure,21:45
847,424,Start,14:02
848,424,Success,22:34
849,425,Start,07:07
850,425,Failure,01:49
851,426,Start,13:13
852,426,Failure,11:23
853,427,Start,18:18
854,427,Success,16:04
855,428,Start,07:43
856,428,Failure,13:37
857,429,Start,10:22
858,429,Success,04:28
859,430,Start,01:01
860,430,Failure,23:35
861,431,Start,01:25
862,431,Failure,17:53
863,432,Start,23:35
864,432,Failure,05:29
865,433,Start,15:15
866,433,Failure,19:07
867,434,Start,12:36
868,434,Failure,07:07
869,435,Start,06:30
870,435,Failure,15:39
871,436,Start,14:14
872,436,Failure,11:23
873,437,Start,05:17
874,437,Success,06:18
875,438,Start,07:55
876,438,Success,08:44
877,439,Start,17:17
878,439,Success,12:48
879,440,Start,06:42
880,440,Success,02:38
881,441,Start,10:22
882,441,Success,04:04
883,442,Start,13:37
884,442,Success,02:02
885,443,Start,16:28
886,443,Success,08:20
887,444,Start,22:22
888,444,Success,08:32
889,445,Start,11:11
890,445,Failure,17:53
891,446,Start,17:41
892,446,Success,02:14
893,447,Start,23:11
894,447,Success,18:30
895,448,Start,18:18
896,448,Success,08:08
897,449,Start,00:24
898,449,Success,04:40
899,450,Start,19:07
900,450,Failure,13:01
901,451,Start,22:46
902,451,Failure,11:35
903,452,Start,21:09
904,452,Failure,11:47
905,453,Start,16:16
906,453,Failure,07:55
907,454,Start,08:08
908,454,Success,12:24
909,455,Start,14:50
910,455,Success,06:54
911,456,Start,06:30
912,456,Failure,23:47
913,457,Start,05:29
914,457,Success,00:48
915,458,Start,12:00
916,458,Failure,07:43
917,459,Start,01:25
918,459,Failure,01:25
919,460,Start,06:30
920,460,Failure,03:15
921,461,Start,08:32
922,461,Failure,05:53
923,462,Start,20:32
924,462,Failure,19:19
925,463,Start,23:59
926,463,Success,10:58
927,464,Start,03:15
928,464,Success,22:46
929,465,Start,04:40
930,465,Failure,07:07
931,466,Start,16:16
932,466,Success,14:26
933,467,Start,12:48
934,467,Failure,03:03
935,468,Start,23:59
936,468,Success,22:34
937,469,Start,17:29
938,469,Success,08:20
939,470,Start,10:58
940,470,Success,16:40
941,471,Start,08:32
942,471,Failure,13:01
943,472,Start,02:50
944,472,Failure,21:45
945,473,Start,14:38
946,473,Success,10:58
947,474,Start,01:01
948,474,Failure,03:51
949,475,Start,11:59
950,475,Success,00:48
951,476,Start,15:39
952,476,Success,10:10
953,477,Start,16:52
954,477,Success,14:50
955,478,Start,18:06
956,478,Success,04:04
957,479,Start,12:00
958,479,Failure,21:33
959,480,Start,04:04
960,480,Success,00:00
961,481,Start,14:02
962,481,Success,22:46
963,482,Start,10:34
964,482,Success,04:28
965,483,Start,18:18
966,483,Failure,13:49
967,484,Start,18:42
968,484,Failure,17:29
969,485,Start,05:53
970,485,Success,20:56
971,486,Start,12:12
972,486,Success,02:02
973,487,Start,01:25
974,487,Success,08:20
975,488,Start,23:23
976,488,Success,18:30
977,489,Start,17:17
978,489,Success,22:46
979,490,Start,03:39
980,490,Success,02:02
981,491,Start,01:01
982,491,Success,00:00
983,492,Start,10:34
984,492,Success,10:46
985,493,Start,20:44
986,493,Success,16:40
987,494,Start,14:14
988,494,Failure,13:01
989,495,Start,18:06
990,495,Failure,03:51
991,496,Start,20:32
992,496,Success,06:30
993,497,Start,05:41
994,497,Success,00:48
995,498,Start,02:02
996,498,Failure,15:27
997,499,Start,05:29
998,499,Success,18:54
999,500,Start,18:30
1000,500,Failure,07:43
1001,501,Start,01:25
1002,501,Success,18:42
1003,502,Start,16:16
1004,502,Success,14:38
1005,503,Start,08:08
1006,503,Success,04:16
1007,504,Start,17:41
1008,504,Success,18:42
1009,505,Start,18:42
1010,505,Failure,01:25
1011,506,Start,19:31
1012,506,Success,16:28
1013,507,Start,21:45
1014,507,Failure,13:25
1015,508,Start,12:48
1016,508,Failure,19:31
1017,509,Start,16:40
1018,509,Failure,19:31
1019,510,Start,09:45
1020,510,Success,14:14
1021,511,Start,18:54
1022,511,Success,18:30
1023,512,Start,22:46
1024,512,Success,08:32
1025,513,Start,02:14
1026,513,Success,00:12
1027,514,Start,16:04
1028,514,Failure,15:03
1029,515,Start,16:16
1030,515,Failure,03:15
1031,516,Start,10:10
1032,516,Failure,11:59
1033,517,Start,12:00
1034,517,Failure,17:29
1035,518,Start,19:55
1036,518,Failure,13:25
1037,519,Start,14:38
1038,519,Success,06:30
1039,520,Start,09:57
1040,520,Failure,15:15
1041,521,Start,12:48
1042,521,Failure,03:51
1043,522,Start,09:09
1044,522,Failure,21:21
1045,523,Start,18:18
1046,523,Success,22:34
1047,524,Start,12:36
1048,524,Failure,01:49
1049,525,Start,02:50
1050,525,Failure,21:21
1051,526,Start,13:49
1052,526,Success,08:08
1053,527,Start,10:10
1054,527,Failure,07:43
1055,528,Start,19:55
1056,528,Success,00:00
1057,529,Start,21:09
1058,529,Failure,01:49
1059,530,Start,20:56
1060,530,Failure,03:51
1061,531,Start,23:11
1062,531,Success,04:52
1063,532,Start,16:52
1064,532,Failure,15:27
1065,533,Start,04:40
1066,533,Success,08:08
1067,534,Start,11:59
1068,534,Failure,09:57
1069,535,Start,06:06
1070,535,Failure,11:11
1071,536,Start,04:52
1072,536,Failure,07:07
1073,537,Start,16:40
1074,537,Failure,09:09
1075,538,Start,09:57
1076,538,Failure,23:59
1077,539,Start,09:57
1078,539,Success,18:18
1079,540,Start,01:49
1080,540,Success,06:30
1081,541,Start,02:50
1082,541,Success,08:44
1083,542,Start,06:06
1084,542,Success,00:12
1085,543,Start,01:25
1086,543,Failure,23:23
1087,544,Start,16:04
1088,544,Failure,07:43
1089,545,Start,15:51
1090,545,Failure,05:29
1091,546,Start,01:49
1092,546,Failure,13:25
1093,547,Start,21:33
1094,547,Success,18:18
1095,548,Start,11:11
1096,548,Failure,23:47
1097,549,Start,03:03
1098,549,Failure,23:23
1099,550,Start,13:13
1100,550,Failure,17:05
1101,551,Start,18:06
1102,551,Success,16:28
1103,552,Start,01:01
1104,552,Success,02:14
1105,553,Start,16:28
1106,553,Failure,13:25
1107,554,Start,06:42
1108,554,Success,12:00
1109,555,Start,23:47
1110,555,Failure,13:01
1111,556,Start,10:46
1112,556,Failure,19:31
1113,557,Start,02:50
1114,557,Success,08:44
1115,558,Start,03:51
1116,558,Failure,17:53
1117,559,Start,22:46
1118,559,Failure,05:29
1119,560,Start,12:36
1120,560,Failure,05:53
1121,561,Start,01:49
1122,561,Success,02:38
1123,562,Start,12:00
1124,562,Success,14:14
1125,563,Start,23:35
1126,563,Failure,03:51
1127,564,Start,13:49
1128,564,Failure,21:09
1129,565,Start,20:44
1130,565,Failure,21:33
1131,566,Start,09:21
1132,566,Failure,09:57
1133,567,Start,10:22
1134,567,Failure,01:13
1135,568,Start,08:20
1136,568,Success,14:38
1137,569,Start,03:15
1138,569,Failure,03:15
1139,570,Start,05:29
1140,570,Success,22:10
1141,571,Start,17:29
1142,571,Success,10:46
1143,572,Start,13:25
1144,572,Failure,21:09
1145,573,Start,23:47
1146,573,Success,04:40
1147,574,Start,05:05
1148,574,Success,16:28
1149,575,Start,13:49
1150,575,Failure,07:55
1151,576,Start,20:32
1152,576,Success,06:42
1153,577,Start,17:53
1154,577,Failure,11:59
1155,578,Start,15:39
1156,578,Success,00:00
1157,579,Start,16:16
1158,579,Failure,09:33
1159,580,Start,16:16
1160,580,Failure,05:05
1161,581,Start,14:50
1162,581,Failure,21:45
1163,582,Start,22:10
1164,582,Success,20:32
1165,583,Start,19:19
1166,583,Failure,07:43
1167,584,Start,16:16
1168,584,Success,22:10
1169,585,Start,15:03
1170,585,Failure,13:25
1171,586,Start,10:22
1172,586,Success,22:34
1173,587,Start,23:59
1174,587,Success,02:50
1175,588,Start,17:29
1176,588,Success,20:08
1177,589,Start,12:12
1178,589,Success,18:54
1179,590,Start,06:42
1180,590,Success,14:50
1181,591,Start,23:11
1182,591,Failure,11:59
1183,592,Start,01:13
1184,592,Failure,03:03
1185,593,Start,05:05
1186,593,Success,14:50
1187,594,Start,17:05
1188,594,Failure,17:17
1189,595,Start,08:08
1190,595,Success,16:16
1191,596,Start,02:14
1192,596,Success,08:32
1193,597,Start,18:18
1194,597,Success,16:52
1195,598,Start,16:52
1196,598,Success,22:10
1197,599,Start,03:15
1198,599,Failure,23:59
1199,600,Start,15:15
1200,600,Failure,05:29
1201,601,Start,02:02
1202,601,Failure,05:17
1203,602,Start,18:18
1204,602,Success,18:54
1205,603,Start,07:31
1206,603,Success,02:14
1207,604,Start,15:39
1208,604,Success,10:58
1209,605,Start,22:10
1210,605,Success,18:42
1211,606,Start,17:41
1212,606,Success,00:24
1213,607,Start,19:43
1214,607,Failure,01:13
1215,608,Start,18:54
1216,608,Success,02:50
1217,609,Start,12:36
1218,609,Success,22:22
1219,610,Start,18:54
1220,610,Success,18:42
1221,611,Start,13:37
1222,611,Success,12:36
